实际伤害价值=[（被攻击单位初始价值*（被攻击单位等级/3+1）*（伤害量*嘲讽加成+BUFF等效伤害量）-自身单位初始价值*（自身单位等级/3+1）*(反击量+BUFF等效伤害量）]/100,,,,,,,,,,,,,,,,,,,,
最终伤害=[（攻方攻击力+地形攻击加成+其他攻击加成）-（守方实际防御+地形防御加成+特殊防御加成+其他防御加成）]*攻方当前血量/最大血量,,,,,,,,,,,,,,,,,,计算结果每一步出现小数向下取整,,
王、战士、圣骑士占房子城堡嘲讽加成,,,,骷髅计算价格,,,王计算价格（可按实际价格）,,,,,,,,,,,,,
2,,,,150,,,600,,,,,,,,,,,,仅讨论攻击价值,
参数,攻击方,,,,,,,,,防守方,,,,,,,,,,攻击价值
近战情况,攻击力,防御力,价格,等级,地形,血量,总血量,buff等效伤害量,攻击伤害,攻击力,防御力,价格,等级,地形,血量,总血量,嘲讽加成,buff等效伤害量,反击伤害,
冰元素→战士,55,10,600,0,0,100,100,0,50,55,5,150,0,0,50,100,1,0,22.5,-60
冰元素→幽灵,55,20,600,0,0,100,100,0,40,50,15,200,0,0,60,100,1,0,18,-28
冰元素→人鱼,55,10,600,0,0,100,100,0,55,40,0,200,0,0,45,100,1,0,13.5,29
冰元素→弓箭手,55,10,600,0,0,100,100,0,50,45,5,250,0,0,50,100,1,0,0,125
冰元素→史莱姆,55,20,600,0,0,100,100,0,65,50,-10,250,0,0,35,100,1,0,10.5,99.5
冰元素→水元素,55,10,600,0,0,100,100,0,40,60,15,300,0,0,60,100,1,0,30,-60
冰元素→黑法,55,20,600,0,0,100,100,0,35,50,20,300,0,0,65,100,1,0,19.5,-12
冰元素→女巫,55,20,600,0,0,100,100,0,15,45,40,400,0,0,85,100,1,0,21.25,-67.5
冰元素→圣骑,55,10,600,0,0,100,100,0,45,50,10,400,0,0,55,100,1,0,22,48
冰元素→精灵,55,20,600,0,0,100,100,0,25,55,30,500,0,0,75,100,1,0,26.25,-32.5
冰元素→狂战士,55,10,600,0,0,100,100,0,45,70,10,500,0,0,55,100,1,0,60,-135
冰元素→狼,55,10,600,0,0,100,100,0,45,75,10,600,0,0,55,100,1,0,35.75,55.5
冰元素→石头人,55,10,600,0,0,100,100,0,45,55,10,600,0,0,55,100,1,0,24.750000000000004,121.49999999999999
冰元素→冰元素,55,20,600,0,0,100,100,0,35,55,20,600,0,0,65,100,1,0,22.75,73.5
冰元素→德鲁伊,55,20,600,0,0,100,100,0,25,40,30,600,0,0,75,100,1,0,15,60
冰元素→投石车,55,10,600,0,0,100,100,0,50,60,5,800,0,0,50,100,1,0,0,400
冰元素→狼骑,55,10,600,0,0,100,100,0,45,60,10,800,0,0,55,100,1,0,33,162
冰元素→龙,55,20,600,0,0,100,100,0,30,70,25,1000,0,0,70,100,1,0,52.5,-15
冰元素→王,55,10,600,0,0,100,100,0,35,60,20,600,0,0,65,100,1,0,32.5,15
冰元素→骷髅,55,10,600,0,0,100,100,0,50,40,5,150,0,0,50,100,1,0,15,-15
,,,,,,,,,,,,,,,,,,,,
参数,攻击方,,,,,,,,,防守方,,,,,,,,,,攻击价值
远程情况,攻击力,防御力,价格,等级,地形,血量,总血量,buff等效伤害量,攻击伤害,攻击力,防御力,价格,等级,地形,血量,总血量,嘲讽加成,buff等效伤害量,反击伤害,
冰元素→战士,55,10,600,0,0,100,100,0,50,55,5,150,0,0,50,100,1,0,0,75
冰元素→幽灵,55,20,600,0,0,100,100,0,40,50,15,200,0,0,60,100,1,0,0,80
冰元素→人鱼,55,10,600,0,0,100,100,0,55,40,0,200,0,0,45,100,1,0,0,110
冰元素→弓箭手,55,10,600,0,0,100,100,0,50,45,5,250,0,0,50,100,1,0,0,125
冰元素→史莱姆,55,20,600,0,0,100,100,0,65,50,-10,250,0,0,35,100,1,0,0,162.5
冰元素→水元素,55,10,600,0,0,100,100,0,40,60,15,300,0,0,60,100,1,0,0,120
冰元素→黑法,55,20,600,0,0,100,100,0,35,50,20,300,0,0,65,100,1,0,0,105
冰元素→女巫,55,20,600,0,0,100,100,0,15,45,40,400,0,0,85,100,1,0,0,60
冰元素→圣骑,55,10,600,0,0,100,100,0,45,50,10,400,0,0,55,100,1,0,0,180
冰元素→精灵,55,20,600,0,0,100,100,0,25,55,30,500,0,0,75,100,1,0,0,125
冰元素→狂战士,55,10,600,0,0,100,100,0,45,70,10,500,0,0,55,100,1,0,0,225
冰元素→狼,55,10,600,0,0,100,100,0,45,75,10,600,0,0,55,100,1,0,0,270
冰元素→石头人,55,10,600,0,0,100,100,0,22.5,55,10,600,0,0,77.5,100,1,0,0,135
冰元素→冰元素,55,20,600,0,0,100,100,0,35,55,20,600,0,0,65,100,1,0,0,210
冰元素→德鲁伊,55,20,600,0,0,100,100,0,25,40,30,600,0,0,75,100,1,0,0,150
冰元素→投石车,55,10,600,0,0,100,100,0,50,60,5,800,0,0,50,100,1,0,0,400
冰元素→狼骑,55,10,600,0,0,100,100,0,45,60,10,800,0,0,55,100,1,0,0,360
冰元素→龙,55,20,600,0,0,100,100,0,15,70,25,1000,0,0,85,100,1,0,0,150
冰元素→王,55,10,600,0,0,100,100,0,35,60,20,600,0,0,65,100,1,0,0,210
冰元素→骷髅,55,10,600,0,0,100,100,0,50,40,5,150,0,0,50,100,1,0,0,75
另,,,,,,,,,,,,,,,,,,,,
冰元素→狂战士,55,10,600,0,0,100,100,0,45,70,10,500,0,0,55,100,1,0,60,-135
