实际伤害价值=[（被攻击单位初始价值*（被攻击单位等级/3+1）*（伤害量*嘲讽加成+BUFF等效伤害量）-自身单位初始价值*（自身单位等级/3+1）*(反击量+BUFF等效伤害量）]/100,,,,,,,,,,,,,,,,,,,,
最终伤害=[（攻方攻击力+地形攻击加成+其他攻击加成）-（守方实际防御+地形防御加成+特殊防御加成+其他防御加成）]*攻方当前血量/最大血量,,,,,,,,,,,,,,,,,,计算结果每一步出现小数向下取整,,
王、战士、圣骑士占房子城堡嘲讽加成,,,,骷髅计算价格,,,王计算价格（可按实际价格）,,,,,,,,,,,,,
2,,,,150,,,600,,,,,,,,,,,,仅讨论攻击价值,
参数,攻击方,,,,,,,,,防守方,,,,,,,,,,攻击价值
,攻击力,防御力,价格,等级,地形,血量,总血量,buff等效伤害量,攻击伤害,攻击力,防御力,价格,等级,地形,血量,总血量,嘲讽加成,buff等效伤害量,反击伤害,
史莱姆→战士,50,40,250,0,0,100,100,0,45,55,5,150,0,0,55,100,1,0,8.25,46.875
史莱姆→幽灵,50,-10,250,0,0,100,100,0,35,50,15,200,0,0,65,100,1,0,39,-27.5
史莱姆→人鱼,50,40,250,0,0,100,100,0,50,40,0,200,0,0,50,100,1,0,0,100
史莱姆→弓箭手,50,40,250,0,0,100,100,0,45,45,5,250,0,0,55,100,1,0,0,112.5
史莱姆→史莱姆,50,-10,250,0,0,100,100,0,60,50,-10,250,0,0,40,100,1,0,24,90
史莱姆→水元素,50,40,250,0,0,100,100,0,35,60,15,300,0,0,65,100,1,0,13,72.5
史莱姆→黑法,50,-10,250,0,0,100,100,0,30,50,20,300,0,0,70,100,1,0,42,-15
史莱姆→女巫,50,-10,250,0,0,100,100,0,10,45,40,400,0,0,90,100,1,0,49.5,-83.75
史莱姆→圣骑,50,40,250,0,0,100,100,0,40,50,10,400,0,0,60,100,1,0,6,145
史莱姆→精灵,50,-10,250,0,0,100,100,0,20,55,30,500,0,0,80,100,1,0,52,-30
史莱姆→狂战士,50,40,250,0,0,100,100,0,40,70,10,500,0,0,60,100,1,0,30,125
史莱姆→狼,50,40,250,0,0,100,100,0,40,75,10,600,0,0,60,100,1,0,21,187.5
史莱姆→石头人,50,40,250,0,0,100,100,0,40,55,10,600,0,0,60,100,1,0,9,217.5
史莱姆→冰元素,50,-10,250,0,0,100,100,0,30,55,20,600,0,0,70,100,1,0,45.5,66.25
史莱姆→德鲁伊,50,-10,250,0,0,100,100,0,20,40,30,600,0,0,80,100,1,0,40,20
史莱姆→投石车,50,40,250,0,0,100,100,0,45,60,5,800,0,0,55,100,1,0,0,360
史莱姆→狼骑,50,40,250,0,0,100,100,0,40,60,10,800,0,0,60,100,1,0,12,290
史莱姆→龙,50,-10,250,0,0,100,100,0,25,70,25,1000,0,0,75,100,1,0,90,25
史莱姆→王,50,40,250,0,0,100,100,0,30,60,20,600,0,0,70,100,1,0,14,145
史莱姆→骷髅,50,40,250,0,0,100,100,0,45,40,5,150,0,0,55,100,1,0,0,67.5
