实际伤害价值=[（被攻击单位初始价值*（被攻击单位等级/3+1）*（伤害量*嘲讽加成+BUFF等效伤害量）-自身单位初始价值*（自身单位等级/3+1）*(反击量+BUFF等效伤害量）]/100,,,,,,,,,,,,,,,,,,,,
最终伤害=[（攻方攻击力+地形攻击加成+其他攻击加成）-（守方实际防御+地形防御加成+特殊防御加成+其他防御加成）]*攻方当前血量/最大血量,,,,,,,,,,,,,,,,,,计算结果每一步出现小数向下取整,,
王、战士、圣骑士占房子城堡嘲讽加成,,,,骷髅计算价格,,,王计算价格（可按实际价格）,,,,,,,,,,,,,
2,,,,150,,,600,,,,,,,,,,,,仅讨论攻击价值,
参数,攻击方,,,,,,,,,防守方,,,,,,,,,,攻击价值
,攻击力,防御力,价格,等级,地形,血量,总血量,buff等效伤害量,攻击伤害,攻击力,防御力,价格,等级,地形,血量,总血量,嘲讽加成,buff等效伤害量,反击伤害,
圣骑→战士,50,10,400,0,0,100,100,0,45,55,5,150,0,0,55,100,1,0,24.750000000000004,-31.500000000000018
圣骑→幽灵,50,10,400,0,0,100,100,0,45,50,5,200,0,0,55,100,1,0,22,2
圣骑→人鱼,50,10,400,0,0,100,100,0,50,40,0,200,0,0,50,100,1,0,15,40
圣骑→弓箭手,50,10,400,0,0,100,100,0,45,45,5,250,0,0,55,100,1,0,0,112.5
圣骑→史莱姆,50,10,400,0,0,100,100,0,10,50,40,250,0,0,90,100,1,0,36,-119
圣骑→水元素,50,10,400,0,0,100,100,0,35,60,15,300,0,0,65,100,1,0,32.5,-25
圣骑→黑法,50,10,400,0,0,100,100,0,50,50,0,300,0,0,50,100,1,0,20,70
圣骑→女巫,50,10,400,0,0,100,100,0,50,45,0,400,0,0,50,100,1,0,17.5,130
圣骑→圣骑,50,10,400,0,0,100,100,0,40,50,10,400,0,0,60,100,1,0,24,64
圣骑→精灵,50,10,400,0,0,100,100,0,30,55,20,500,0,0,70,100,1,0,31.499999999999996,24.000000000000018
圣骑→狂战士,50,10,400,0,0,100,100,0,30,70,20,500,0,0,70,100,1,0,60,-90
圣骑→狼,50,10,400,0,0,100,100,0,30,75,20,600,0,0,70,100,1,0,45.5,-2
圣骑→石头人,50,10,400,0,0,100,100,0,20,55,30,600,0,0,80,100,1,0,36,-24
圣骑→冰元素,50,10,400,0,0,100,100,0,40,55,10,600,0,0,60,100,1,0,27,132
圣骑→德鲁伊,50,10,400,0,0,100,100,0,50,40,0,600,0,0,50,100,1,0,15,240
圣骑→投石车,50,10,400,0,0,100,100,0,45,60,5,800,0,0,55,100,1,0,0,360
圣骑→狼骑,50,10,400,0,0,100,100,0,30,60,20,800,0,0,70,100,1,0,35,100
圣骑→龙,50,10,400,0,0,100,100,0,25,70,25,1000,0,0,75,100,1,0,67.5,-20
圣骑→王,50,10,400,0,0,100,100,0,30,60,20,600,0,0,70,100,1,0,35,40
圣骑→骷髅,50,10,400,0,0,100,100,0,45,40,5,150,0,0,55,100,1,0,16.5,1.5
