实际伤害价值=[（被攻击单位初始价值*（被攻击单位等级/3+1）*（伤害量*嘲讽加成+BUFF等效伤害量）-自身单位初始价值*（自身单位等级/3+1）*(反击量+BUFF等效伤害量）]/100,,,,,,,,,,,,,,,,,,,,
最终伤害=[（攻方攻击力+地形攻击加成+其他攻击加成）-（守方实际防御+地形防御加成+特殊防御加成+其他防御加成）]*攻方当前血量/最大血量,,,,,,,,,,,,,,,,,,计算结果每一步出现小数向下取整,,
王、战士、圣骑士占房子城堡嘲讽加成,,,,骷髅计算价格,,,王计算价格（可按实际价格）,,,,,,,,,,,,,
2,,,,150,,,600,,,,,,,,,,,,仅讨论攻击价值,
参数,攻击方,,,,,,,,,防守方,,,,,,,,,,攻击价值
近战情况,攻击力,防御力,价格,等级,地形,血量,总血量,buff等效伤害量,攻击伤害,攻击力,防御力,价格,等级,地形,血量,总血量,嘲讽加成,buff等效伤害量,反击伤害,
女巫→战士,45,0,400,0,0,100,100,0,40,55,5,150,0,0,60,100,1,0,33,-72
女巫→幽灵,45,40,400,0,0,100,100,0,30,50,15,200,0,0,70,100,1,0,7,32
女巫→人鱼,45,0,400,0,0,100,100,0,45,40,0,200,0,0,55,100,1,0,22,2
女巫→弓箭手,45,0,400,0,0,100,100,0,40,45,5,250,0,0,60,100,1,0,0,100
女巫→史莱姆,45,40,400,0,0,100,100,0,55,50,-10,250,0,0,45,100,1,0,4.5,119.5
女巫→水元素,45,0,400,0,0,100,100,0,30,60,15,300,0,0,70,100,1,0,42,-78
女巫→黑法,45,40,400,0,0,100,100,0,25,50,20,300,0,0,75,100,1,0,7.5,45
女巫→女巫,45,40,400,0,0,100,100,0,5,45,40,400,0,0,95,100,1,0,4.75,1
女巫→圣骑,45,0,400,0,0,100,100,0,35,50,10,400,0,0,65,100,1,0,32.5,10
女巫→精灵,45,40,400,0,0,100,100,0,15,55,30,500,0,0,85,100,1,0,12.75,24
女巫→狂战士,45,0,400,0,0,100,100,0,35,70,10,500,0,0,65,100,1,0,70,-105
女巫→狼,45,0,400,0,0,100,100,0,35,75,10,600,0,0,65,100,1,0,48.75,15
女巫→石头人,45,0,400,0,0,100,100,0,35,55,10,600,0,0,65,100,1,0,35.75,67
女巫→冰元素,45,40,400,0,0,100,100,0,25,55,20,600,0,0,75,100,1,0,11.25,105
女巫→德鲁伊,45,40,400,0,0,100,100,0,15,40,30,600,0,0,85,100,1,0,0,90
女巫→投石车,45,0,400,0,0,100,100,0,40,60,5,800,0,0,60,100,1,0,0,320
女巫→狼骑,45,0,400,0,0,100,100,0,35,60,10,800,0,0,65,100,1,0,39,124
女巫→龙,45,40,400,0,0,100,100,0,20,70,25,1000,0,0,80,100,1,0,36,56
女巫→王,45,0,400,0,0,100,100,0,25,60,20,600,0,0,75,100,1,0,45,-30
女巫→骷髅,45,0,400,0,0,100,100,0,40,40,5,150,0,0,60,100,1,0,24,-36
,,,,,,,,,,,,,,,,,,,,
参数,攻击方,,,,,,,,,防守方,,,,,,,,,,攻击价值
远程情况,攻击力,防御力,价格,等级,地形,血量,总血量,buff等效伤害量,攻击伤害,攻击力,防御力,价格,等级,地形,血量,总血量,嘲讽加成,buff等效伤害量,反击伤害,
女巫→战士,45,0,400,0,0,100,100,0,40,55,5,150,0,0,60,100,1,0,0,60
女巫→幽灵,45,40,400,0,0,100,100,0,30,50,15,200,0,0,70,100,1,0,0,60
女巫→人鱼,45,0,400,0,0,100,100,0,45,40,0,200,0,0,55,100,1,0,0,90
女巫→弓箭手,45,0,400,0,0,100,100,0,40,45,5,250,0,0,60,100,1,0,0,100
女巫→史莱姆,45,40,400,0,0,100,100,0,55,50,-10,250,0,0,45,100,1,0,0,137.5
女巫→水元素,45,0,400,0,0,100,100,0,30,60,15,300,0,0,70,100,1,0,0,90
女巫→黑法,45,40,400,0,0,100,100,0,25,50,20,300,0,0,75,100,1,0,0,75
女巫→女巫,45,40,400,0,0,100,100,0,5,45,40,400,0,0,95,100,1,0,0,20
女巫→圣骑,45,0,400,0,0,100,100,0,35,50,10,400,0,0,65,100,1,0,0,140
女巫→精灵,45,40,400,0,0,100,100,0,15,55,30,500,0,0,85,100,1,0,0,75
女巫→狂战士,45,0,400,0,0,100,100,0,35,70,10,500,0,0,65,100,1,0,70,-105
女巫→狼,45,0,400,0,0,100,100,0,35,75,10,600,0,0,65,100,1,0,0,210
女巫→石头人,45,0,400,0,0,100,100,0,17.5,55,10,600,0,0,82.5,100,1,0,0,105
女巫→冰元素,45,40,400,0,0,100,100,0,25,55,20,600,0,0,75,100,1,0,0,150
女巫→德鲁伊,45,40,400,0,0,100,100,0,15,40,30,600,0,0,85,100,1,0,0,90
女巫→投石车,45,0,400,0,0,100,100,0,40,60,5,800,0,0,60,100,1,0,0,320
女巫→狼骑,45,0,400,0,0,100,100,0,35,60,10,800,0,0,65,100,1,0,0,280
女巫→龙,45,40,400,0,0,100,100,0,10,70,25,1000,0,0,90,100,1,0,0,100
女巫→王,45,0,400,0,0,100,100,0,25,60,20,600,0,0,75,100,1,0,0,150
女巫→骷髅,45,0,400,0,0,100,100,0,40,40,5,150,0,0,60,100,1,0,0,60
