实际伤害价值=[（被攻击单位初始价值*（被攻击单位等级/3+1）*（伤害量*嘲讽加成+BUFF等效伤害量）-自身单位初始价值*（自身单位等级/3+1）*(反击量+BUFF等效伤害量）]/100,,,,,,,,,,,,,,,,,,,,
最终伤害=[（攻方攻击力+地形攻击加成+其他攻击加成）-（守方实际防御+地形防御加成+特殊防御加成+其他防御加成）]*攻方当前血量/最大血量,,,,,,,,,,,,,,,,,,计算结果每一步出现小数向下取整,,
王、战士、圣骑士占房子城堡嘲讽加成,,,,骷髅计算价格,,,王计算价格（可按实际价格）,,,,,,,,,,,,,
2,,,,150,,,600,,,,,,,,,,,,仅讨论攻击价值,
参数,攻击方,,,,,,,,,防守方,,,,,,,,,,攻击价值
,攻击力,防御力,价格,等级,地形,血量,总血量,buff等效伤害量,攻击伤害,攻击力,防御力,价格,等级,地形,血量,总血量,嘲讽加成,buff等效伤害量,反击伤害,
幽灵→战士,50,5,200,0,0,100,100,0,45,55,5,150,0,0,55,100,1,0,27.500000000000004,12.499999999999991
幽灵→幽灵,50,15,200,0,0,100,100,0,35,50,15,200,0,0,65,100,1,0,22.75,24.5
幽灵→人鱼,50,5,200,0,0,100,100,0,50,40,0,200,0,0,50,100,1,0,17.5,65
幽灵→弓箭手,50,5,200,0,0,100,100,0,45,45,5,250,0,0,55,100,1,0,0,112.5
幽灵→史莱姆,50,15,200,0,0,100,100,0,60,50,-10,250,0,0,40,100,1,0,14,122
幽灵→水元素,50,5,200,0,0,100,100,0,35,60,15,300,0,0,65,100,1,0,35.75,33.5
幽灵→黑法,50,15,200,0,0,100,100,0,30,50,20,300,0,0,70,100,1,0,24.5,41
幽灵→女巫,50,15,200,0,0,100,100,0,10,45,40,400,0,0,90,100,1,0,27,-14
幽灵→圣骑,50,5,200,0,0,100,100,0,40,50,10,400,0,0,60,100,1,0,27,106
幽灵→精灵,50,15,200,0,0,100,100,0,20,55,30,500,0,0,80,100,1,0,32,36
幽灵→狂战士,50,5,200,0,0,100,100,0,40,70,10,500,0,0,60,100,1,0,65,70
幽灵→狼,50,5,200,0,0,100,100,0,40,75,10,600,0,0,60,100,1,0,42,156
幽灵→石头人,50,5,200,0,0,100,100,0,40,55,10,600,0,0,60,100,1,0,30,180
幽灵→冰元素,50,15,200,0,0,100,100,0,30,55,20,600,0,0,70,100,1,0,28,124
幽灵→德鲁伊,50,15,200,0,0,100,100,0,20,40,30,600,0,0,80,100,1,0,20,80
幽灵→投石车,50,5,200,0,0,100,100,0,45,60,5,800,0,0,55,100,1,0,0,360
幽灵→狼骑,50,5,200,0,0,100,100,0,40,60,10,800,0,0,60,100,1,0,33,254
幽灵→龙,50,15,200,0,0,100,100,0,25,70,25,1000,0,0,75,100,1,0,61.875,126.25
幽灵→王,50,5,200,0,0,100,100,0,30,60,20,600,0,0,70,100,1,0,38.5,103
幽灵→骷髅,50,5,200,0,0,100,100,0,45,40,5,150,0,0,55,100,1,0,19.25,29
