实际伤害价值=[（被攻击单位初始价值*（被攻击单位等级/3+1）*（伤害量*嘲讽加成+BUFF等效伤害量）-自身单位初始价值*（自身单位等级/3+1）*(反击量+BUFF等效伤害量）]/100,,,,,,,,,,,,,,,,,,,,
最终伤害=[（攻方攻击力+地形攻击加成+其他攻击加成）-（守方实际防御+地形防御加成+特殊防御加成+其他防御加成）]*攻方当前血量/最大血量,,,,,,,,,,,,,,,,,,计算结果每一步出现小数向下取整,,
王、战士、圣骑士占房子城堡嘲讽加成,,,,骷髅计算价格,,,王计算价格（可按实际价格）,,,,,,,,,,,,,
2,,,,150,,,600,,,,,,,,,,,,仅讨论攻击价值,
参数,攻击方,,,,,,,,,防守方,,,,,,,,,,攻击价值
近战情况,攻击力,防御力,价格,等级,地形,血量,总血量,buff等效伤害量,攻击伤害,攻击力,防御力,价格,等级,地形,血量,总血量,嘲讽加成,buff等效伤害量,反击伤害,
德鲁伊→战士,40,0,600,0,0,100,100,0,35,55,5,150,0,0,65,100,1,0,35.75,-162
德鲁伊→幽灵,40,30,600,0,0,100,100,0,25,50,15,200,0,0,75,100,1,0,15,-40
德鲁伊→人鱼,40,0,600,0,0,100,100,0,40,40,0,200,0,0,60,100,1,0,24,-64
德鲁伊→弓箭手,40,0,600,0,0,100,100,0,35,45,5,250,0,0,65,100,1,0,0,87.5
德鲁伊→史莱姆,40,30,600,0,0,100,100,0,50,50,-10,250,0,0,50,100,1,0,10,65
德鲁伊→水元素,40,0,600,0,0,100,100,0,25,60,15,300,0,0,75,100,1,0,45,-195
德鲁伊→黑法,40,30,600,0,0,100,100,0,20,50,20,300,0,0,80,100,1,0,16,-36
德鲁伊→女巫,40,30,600,0,0,100,100,0,0,45,40,400,0,0,100,100,1,0,15,-90
德鲁伊→圣骑,40,0,600,0,0,100,100,0,30,50,10,400,0,0,70,100,1,0,35,-90
德鲁伊→精灵,40,30,600,0,0,100,100,0,10,55,30,500,0,0,90,100,1,0,22.5,-85
德鲁伊→狂战士,40,0,600,0,0,100,100,0,30,70,10,500,0,0,70,100,1,0,70,-270
德鲁伊→狼,40,0,600,0,0,100,100,0,30,75,10,600,0,0,70,100,1,0,52.5,-135
德鲁伊→石头人,40,0,600,0,0,100,100,0,30,55,10,600,0,0,70,100,1,0,38.5,-51
德鲁伊→冰元素,40,30,600,0,0,100,100,0,20,55,20,600,0,0,80,100,1,0,20,0
德鲁伊→德鲁伊,40,30,600,0,0,100,100,0,10,40,30,600,0,0,90,100,1,0,9,6
德鲁伊→投石车,40,0,600,0,0,100,100,0,35,60,5,800,0,0,65,100,1,0,0,280
德鲁伊→狼骑,40,0,600,0,0,100,100,0,30,60,10,800,0,0,70,100,1,0,49,-54
德鲁伊→龙,40,30,600,0,0,100,100,0,15,70,25,1000,0,0,85,100,1,0,51,-156
德鲁伊→王,40,0,600,0,0,100,100,0,20,60,20,600,0,0,80,100,1,0,48,-168
德鲁伊→骷髅,40,0,600,0,0,100,100,0,35,40,5,150,0,0,65,100,1,0,26,-103.5
,,,,,,,,,,,,,,,,,,,,
参数,攻击方,,,,,,,,,防守方,,,,,,,,,,攻击价值
远程情况,攻击力,防御力,价格,等级,地形,血量,总血量,buff等效伤害量,攻击伤害,攻击力,防御力,价格,等级,地形,血量,总血量,嘲讽加成,buff等效伤害量,反击伤害,
德鲁伊→战士,40,0,600,0,0,100,100,0,35,55,5,150,0,0,65,100,1,0,0,52.5
德鲁伊→幽灵,40,30,600,0,0,100,100,0,25,50,15,200,0,0,75,100,1,0,0,50
德鲁伊→人鱼,40,0,600,0,0,100,100,0,40,40,0,200,0,0,60,100,1,0,0,80
德鲁伊→弓箭手,40,0,600,0,0,100,100,0,35,45,5,250,0,0,65,100,1,0,0,87.5
德鲁伊→史莱姆,40,30,600,0,0,100,100,0,50,50,-10,250,0,0,50,100,1,0,0,125
德鲁伊→水元素,40,0,600,0,0,100,100,0,25,60,15,300,0,0,75,100,1,0,0,75
德鲁伊→黑法,40,30,600,0,0,100,100,0,20,50,20,300,0,0,80,100,1,0,0,60
德鲁伊→女巫,40,30,600,0,0,100,100,0,0,45,40,400,0,0,100,100,1,0,0,0
德鲁伊→圣骑,40,0,600,0,0,100,100,0,30,50,10,400,0,0,70,100,1,0,0,120
德鲁伊→精灵,40,30,600,0,0,100,100,0,10,55,30,500,0,0,90,100,1,0,0,50
德鲁伊→狂战士,40,0,600,0,0,100,100,0,30,70,10,500,0,0,70,100,1,0,70,-270
德鲁伊→狼,40,0,600,0,0,100,100,0,30,75,10,600,0,0,70,100,1,0,0,180
德鲁伊→石头人,40,0,600,0,0,100,100,0,15,55,10,600,0,0,85,100,1,0,0,90
德鲁伊→冰元素,40,30,600,0,0,100,100,0,20,55,20,600,0,0,80,100,1,0,0,120
德鲁伊→德鲁伊,40,30,600,0,0,100,100,0,10,40,30,600,0,0,90,100,1,0,0,60
德鲁伊→投石车,40,0,600,0,0,100,100,0,35,60,5,800,0,0,65,100,1,0,0,280
德鲁伊→狼骑,40,0,600,0,0,100,100,0,30,60,10,800,0,0,70,100,1,0,0,240
德鲁伊→龙,40,30,600,0,0,100,100,0,7.5,70,25,1000,0,0,92.5,100,1,0,0,75
德鲁伊→王,40,0,600,0,0,100,100,0,20,60,20,600,0,0,80,100,1,0,0,120
德鲁伊→骷髅,40,0,600,0,0,100,100,0,35,40,5,150,0,0,65,100,1,0,0,52.5
