实际伤害价值=[（被攻击单位初始价值*（被攻击单位等级/3+1）*（伤害量*嘲讽加成+BUFF等效伤害量）-自身单位初始价值*（自身单位等级/3+1）*(反击量+BUFF等效伤害量）]/100,,,,,,,,,,,,,,,,,,,,
最终伤害=[（攻方攻击力+地形攻击加成+其他攻击加成）-（守方实际防御+地形防御加成+特殊防御加成+其他防御加成）]*攻方当前血量/最大血量,,,,,,,,,,,,,,,,,,计算结果每一步出现小数向下取整,,
王、战士、圣骑士占房子城堡嘲讽加成,,,,骷髅计算价格,,,王计算价格（可按实际价格）,,,,,,,,,,,,,
2,,,,150,,,600,,,,,,,,,,,,仅讨论攻击价值,
参数,攻击方,,,,,,,,,防守方,,,,,,,,,,攻击价值
,攻击力,防御力,价格,等级,地形,血量,总血量,buff等效伤害量,攻击伤害,攻击力,防御力,价格,等级,地形,血量,总血量,嘲讽加成,buff等效伤害量,反击伤害,
战士→战士,55,5,150,0,0,100,100,0,50,55,5,150,0,0,50,100,1,0,25,37.5
战士→幽灵,55,5,150,0,0,100,100,0,50,50,5,200,0,0,50,100,1,0,22.5,66.25
战士→人鱼,55,5,150,0,0,100,100,0,55,40,0,200,0,0,45,100,1,0,15.75,86.375
战士→弓箭手,55,5,150,0,0,100,100,0,50,45,5,250,0,0,50,100,1,0,0,125
战士→史莱姆,55,5,150,0,0,100,100,0,15,50,40,250,0,0,85,100,1,0,38.25,-19.875
战士→水元素,55,5,150,0,0,100,100,0,40,60,15,300,0,0,60,100,1,0,33,70.5
战士→黑法,55,5,150,0,0,100,100,0,55,50,0,300,0,0,45,100,1,0,20.25,134.625
战士→女巫,55,5,150,0,0,100,100,0,55,45,0,400,0,0,45,100,1,0,18,193
战士→圣骑,55,5,150,0,0,100,100,0,45,50,10,400,0,0,55,100,1,0,24.750000000000004,142.875
战士→精灵,55,5,150,0,0,100,100,0,35,55,20,500,0,0,65,100,1,0,32.5,126.25
战士→狂战士,55,5,150,0,0,100,100,0,35,70,20,500,0,0,65,100,1,0,65,77.5
战士→狼,55,5,150,0,0,100,100,0,35,75,20,600,0,0,65,100,1,0,45.5,141.75
战士→石头人,55,5,150,0,0,100,100,0,25,55,30,600,0,0,75,100,1,0,37.5,93.75
战士→冰元素,55,5,150,0,0,100,100,0,45,55,10,600,0,0,55,100,1,0,27.500000000000004,228.75
战士→德鲁伊,55,5,150,0,0,100,100,0,55,40,0,600,0,0,45,100,1,0,15.75,306.375
战士→投石车,55,5,150,0,0,100,100,0,50,60,5,800,0,0,50,100,1,0,0,400
战士→狼骑,55,5,150,0,0,100,100,0,35,60,20,800,0,0,65,100,1,0,35.75,226.375
战士→龙,55,5,150,0,0,100,100,0,30,70,25,1000,0,0,70,100,1,0,68.25,197.625
战士→王,55,5,150,0,0,100,100,0,35,60,20,600,0,0,65,100,1,0,35.75,156.375
战士→骷髅,55,5,150,0,0,100,100,0,50,40,5,150,0,0,50,100,1,0,17.5,48.75
