实际伤害价值=[（被攻击单位初始价值*（被攻击单位等级/3+1）*（伤害量*嘲讽加成+BUFF等效伤害量）-自身单位初始价值*（自身单位等级/3+1）*(反击量+BUFF等效伤害量）]/100,,,,,,,,,,,,,,,,,,,,
最终伤害=[（攻方攻击力+地形攻击加成+其他攻击加成）-（守方实际防御+地形防御加成+特殊防御加成+其他防御加成）]*攻方当前血量/最大血量,,,,,,,,,,,,,,,,,,计算结果每一步出现小数向下取整,,
王、战士、圣骑士占房子城堡嘲讽加成,,,,骷髅计算价格,,,王计算价格（可按实际价格）,,,,,,,,,,,,,
2,,,,150,,,600,,,,,,,,,,,,仅讨论攻击价值,
参数,攻击方,,,,,,,,,防守方,,,,,,,,,,攻击价值
,攻击力,防御力,价格,等级,地形,血量,总血量,buff等效伤害量,攻击伤害,攻击力,防御力,价格,等级,地形,血量,总血量,嘲讽加成,buff等效伤害量,反击伤害,
狂战士→战士,70,20,500,0,0,100,100,0,65,55,5,150,0,0,35,100,1,0,12.25,36.25
狂战士→幽灵,70,10,500,0,0,100,100,0,65,50,5,200,0,0,35,100,1,0,14,60
狂战士→人鱼,70,20,500,0,0,100,100,0,70,40,0,200,0,0,30,100,1,0,6,110
狂战士→弓箭手,70,20,500,0,0,100,100,0,65,45,5,250,0,0,35,100,1,0,0,162.5
狂战士→史莱姆,70,10,500,0,0,100,100,0,30,50,40,250,0,0,70,100,1,0,28,-65
狂战士→水元素,70,20,500,0,0,100,100,0,55,60,15,300,0,0,45,100,1,0,18,75
狂战士→黑法,70,10,500,0,0,100,100,0,70,50,0,300,0,0,30,100,1,0,12,150
狂战士→女巫,70,10,500,0,0,100,100,0,70,45,0,400,0,0,30,100,1,0,10.5,227.5
狂战士→圣骑,70,20,500,0,0,100,100,0,60,50,10,400,0,0,40,100,1,0,12,180
狂战士→精灵,70,10,500,0,0,100,100,0,50,55,20,500,0,0,50,100,1,0,22.5,137.5
狂战士→狂战士,70,20,500,0,0,100,100,0,50,70,20,500,0,0,50,100,1,0,50,0
狂战士→狼,70,20,500,0,0,100,100,0,50,75,20,600,0,0,50,100,1,0,27.5,162.5
狂战士→石头人,70,20,500,0,0,100,100,0,40,55,30,600,0,0,60,100,1,0,21,135
狂战士→冰元素,70,10,500,0,0,100,100,0,60,55,10,600,0,0,40,100,1,0,18,270
狂战士→德鲁伊,70,10,500,0,0,100,100,0,70,40,0,600,0,0,30,100,1,0,9,375
狂战士→投石车,70,20,500,0,0,100,100,0,65,60,5,800,0,0,35,100,1,0,0,520
狂战士→狼骑,70,20,500,0,0,100,100,0,50,60,20,800,0,0,50,100,1,0,20,300
狂战士→龙,70,10,500,0,0,100,100,0,45,70,25,1000,0,0,55,100,1,0,49.5,202.5
狂战士→王,70,20,500,0,0,100,100,0,50,60,20,600,0,0,50,100,1,0,20,200
狂战士→骷髅,70,20,500,0,0,100,100,0,65,40,5,150,0,0,35,100,1,0,7,62.5
