实际伤害价值=[（被攻击单位初始价值*（被攻击单位等级/3+1）*（伤害量*嘲讽加成+BUFF等效伤害量）-自身单位初始价值*（自身单位等级/3+1）*(反击量+BUFF等效伤害量）]/100,,,,,,,,,,,,,,,,,,,,
最终伤害=[（攻方攻击力+地形攻击加成+其他攻击加成）-（守方实际防御+地形防御加成+特殊防御加成+其他防御加成）]*攻方当前血量/最大血量,,,,,,,,,,,,,,,,,,计算结果每一步出现小数向下取整,,
王、战士、圣骑士占房子城堡嘲讽加成,,,,骷髅计算价格,,,王计算价格（可按实际价格）,,,,,,,,,,,,,
2,,,,150,,,600,,,,,,,,,,,,仅讨论攻击价值,
参数,攻击方,,,,,,,,,防守方,,,,,,,,,,攻击价值
,攻击力,防御力,价格,等级,地形,血量,总血量,buff等效伤害量,攻击伤害,攻击力,防御力,价格,等级,地形,血量,总血量,嘲讽加成,buff等效伤害量,反击伤害,
狼→战士,75,20,600,0,0,100,100,0,70,55,5,150,0,0,30,100,1,0,10.5,42
狼→幽灵,75,10,600,0,0,100,100,0,70,50,5,200,0,0,30,100,1,0,12,68
狼→人鱼,75,20,600,0,0,100,100,0,75,40,0,200,0,0,25,100,1,0,5,120
狼→弓箭手,75,20,600,0,0,100,100,0,70,45,5,250,0,0,30,100,1,0,0,175
狼→史莱姆,75,10,600,0,0,100,100,0,35,50,40,250,0,0,65,100,1,0,26,-68.5
狼→水元素,75,20,600,0,0,100,100,0,60,60,15,300,0,0,40,100,1,0,16,84
狼→黑法,75,10,600,0,0,100,100,0,75,50,0,300,0,0,25,100,1,0,10,165
狼→女巫,75,10,600,0,0,100,100,0,75,45,0,400,0,0,25,100,1,0,8.75,247.5
狼→圣骑,75,20,600,0,0,100,100,0,65,50,10,400,0,0,35,100,1,0,10.5,197
狼→精灵,75,10,600,0,0,100,100,0,55,55,20,500,0,0,45,100,1,0,20.25,153.5
狼→狂战士,75,20,600,0,0,100,100,0,55,70,20,500,0,0,45,100,1,0,50,-25
狼→狼,75,20,600,0,0,100,100,0,55,75,20,600,0,0,45,100,1,0,24.75,181.5
狼→石头人,75,20,600,0,0,100,100,0,45,55,30,600,0,0,55,100,1,0,19.25,154.5
狼→冰元素,75,10,600,0,0,100,100,0,65,55,10,600,0,0,35,100,1,0,15.749999999999998,295.5
狼→德鲁伊,75,10,600,0,0,100,100,0,75,40,0,600,0,0,25,100,1,0,7.5,405
狼→投石车,75,20,600,0,0,100,100,0,70,60,5,800,0,0,30,100,1,0,0,560
狼→狼骑,75,20,600,0,0,100,100,0,55,60,20,800,0,0,45,100,1,0,18,332
狼→龙,75,10,600,0,0,100,100,0,50,70,25,1000,0,0,50,100,1,0,45,230
狼→王,75,20,600,0,0,100,100,0,55,60,20,600,0,0,45,100,1,0,18,222
狼→骷髅,75,20,600,0,0,100,100,0,70,40,5,150,0,0,30,100,1,0,6,69
