实际伤害价值=[（被攻击单位初始价值*（被攻击单位等级/3+1）*（伤害量*嘲讽加成+BUFF等效伤害量）-自身单位初始价值*（自身单位等级/3+1）*(反击量+BUFF等效伤害量）]/100,,,,,,,,,,,,,,,,,,,,
最终伤害=[（攻方攻击力+地形攻击加成+其他攻击加成）-（守方实际防御+地形防御加成+特殊防御加成+其他防御加成）]*攻方当前血量/最大血量,,,,,,,,,,,,,,,,,,计算结果每一步出现小数向下取整,,
王、战士、圣骑士占房子城堡嘲讽加成,,,,骷髅计算价格,,,王计算价格（可按实际价格）,,,,,,,,,,,,,
2,,,,150,,,600,,,,,,,,,,,,仅讨论攻击价值,
参数,攻击方,,,,,,,,,防守方,,,,,,,,,,攻击价值
近战情况,攻击力,防御力,价格,等级,地形,血量,总血量,buff等效伤害量,攻击伤害,攻击力,防御力,价格,等级,地形,血量,总血量,嘲讽加成,buff等效伤害量,反击伤害,
狼骑→战士,60,20,800,0,0,100,100,0,55,55,5,150,0,0,45,100,1,0,0,82.5
狼骑→幽灵,60,10,800,0,0,100,100,0,65,50,5,200,0,0,35,100,1,0,0,130
狼骑→人鱼,60,20,800,0,0,100,100,0,60,40,0,200,0,0,40,100,1,0,0,120
狼骑→弓箭手,60,20,800,0,0,100,100,0,55,45,5,250,0,0,45,100,1,0,0,137.5
狼骑→史莱姆,60,10,800,0,0,100,100,0,20,50,40,250,0,0,80,100,1,0,0,50
狼骑→水元素,60,20,800,0,0,100,100,0,45,60,15,300,0,0,55,100,1,0,0,135
狼骑→黑法,60,10,800,0,0,100,100,0,60,50,0,300,0,0,40,100,1,0,16,52
狼骑→女巫,60,10,800,0,0,100,100,0,60,45,0,400,0,0,40,100,1,0,0,240
狼骑→圣骑,60,20,800,0,0,100,100,0,50,50,10,400,0,0,50,100,1,0,0,200
狼骑→精灵,60,10,800,0,0,100,100,0,50,55,20,500,0,0,50,100,1,0,0,250
狼骑→狂战士,60,20,800,0,0,100,100,0,40,70,20,500,0,0,60,100,1,0,50,-200
狼骑→狼,60,20,800,0,0,100,100,0,40,75,20,600,0,0,60,100,1,0,0,240
狼骑→石头人,60,20,800,0,0,100,100,0,30,55,30,600,0,0,70,100,1,0,0,180
狼骑→冰元素,60,10,800,0,0,100,100,0,50,55,10,600,0,0,50,100,1,0,0,300
狼骑→德鲁伊,60,10,800,0,0,100,100,0,60,40,0,600,0,0,40,100,1,0,0,360
狼骑→投石车,60,20,800,0,0,100,100,0,55,60,5,800,0,0,45,100,1,0,0,440
狼骑→狼骑,60,20,800,0,0,100,100,0,40,60,20,800,0,0,60,100,1,0,24,128
狼骑→龙,60,10,800,0,0,100,100,0,45,70,25,1000,0,0,55,100,1,0,0,450
狼骑→王,60,20,800,0,0,100,100,0,40,60,20,600,0,0,60,100,1,0,0,240
狼骑→骷髅,60,20,800,0,0,100,100,0,55,40,5,150,0,0,45,100,1,0,0,82.5
,,,,,,,,,,,,,,,,,,,,
参数,攻击方,,,,,,,,,防守方,,,,,,,,,,攻击价值
远程情况,攻击力,防御力,价格,等级,地形,血量,总血量,buff等效伤害量,攻击伤害,攻击力,防御力,价格,等级,地形,血量,总血量,嘲讽加成,buff等效伤害量,反击伤害,
狼骑→黑法,60,10,800,0,0,100,100,0,60,50,0,300,0,0,40,100,1,0,0,180
狼骑→石头人,60,20,800,0,0,100,100,0,15,55,30,600,0,0,85,100,1,0,0,90
狼骑→狼骑,60,20,800,0,0,100,100,0,40,60,20,800,0,0,60,100,1,0,0,320
狼骑→龙,60,10,800,0,0,100,100,0,17.5,70,25,1000,0,0,82.5,100,1,0,0,175
其余同近战情况,,,,,,,,,,,,,,,,,,,,
