实际伤害价值=[（被攻击单位初始价值*（被攻击单位等级/3+1）*（伤害量*嘲讽加成+BUFF等效伤害量）-自身单位初始价值*（自身单位等级/3+1）*(反击量+BUFF等效伤害量）]/100,,,,,,,,,,,,,,,,,,,,
最终伤害=[（攻方攻击力+地形攻击加成+其他攻击加成）-（守方实际防御+地形防御加成+特殊防御加成+其他防御加成）]*攻方当前血量/最大血量,,,,,,,,,,,,,,,,,,计算结果每一步出现小数向下取整,,
王、战士、圣骑士占房子城堡嘲讽加成,,,,骷髅计算价格,,,王计算价格（可按实际价格）,,,,,,,,,,,,,
2,,,,150,,,600,,,,,,,,,,,,仅讨论攻击价值,
参数,攻击方,,,,,,,,,防守方,,,,,,,,,,攻击价值
,攻击力,防御力,价格,等级,地形,血量,总血量,buff等效伤害量,攻击伤害,攻击力,防御力,价格,等级,地形,血量,总血量,嘲讽加成,buff等效伤害量,反击伤害,
石头人→战士,55,30,600,0,0,100,100,0,50,55,5,150,0,0,50,100,1,0,12.5,0
石头人→幽灵,55,10,600,0,0,100,100,0,50,50,5,200,0,0,50,100,1,0,20,-20
石头人→人鱼,55,30,600,0,0,100,100,0,55,40,0,200,0,0,45,100,1,0,4.5,83
石头人→弓箭手,55,30,600,0,0,100,100,0,50,45,5,250,0,0,50,100,1,0,0,125
石头人→史莱姆,55,10,600,0,0,100,100,0,15,50,40,250,0,0,85,100,1,0,34,-166.5
石头人→水元素,55,30,600,0,0,100,100,0,40,60,15,300,0,0,60,100,1,0,18,12
石头人→黑法,55,10,600,0,0,100,100,0,55,50,0,300,0,0,45,100,1,0,18,57
石头人→女巫,55,10,600,0,0,100,100,0,55,45,0,400,0,0,45,100,1,0,15.75,125.5
石头人→圣骑,55,30,600,0,0,100,100,0,45,50,10,400,0,0,55,100,1,0,11,114
石头人→精灵,55,10,600,0,0,100,100,0,35,55,20,500,0,0,65,100,1,0,29.25,-0.5
石头人→狂战士,55,30,600,0,0,100,100,0,35,70,20,500,0,0,65,100,1,0,40,-65
石头人→狼,55,30,600,0,0,100,100,0,35,75,20,600,0,0,65,100,1,0,29.25,34.5
石头人→石头人,55,30,600,0,0,100,100,0,25,55,30,600,0,0,75,100,1,0,18.75,37.5
石头人→冰元素,55,10,600,0,0,100,100,0,45,55,10,600,0,0,55,100,1,0,24.750000000000004,121.49999999999999
石头人→德鲁伊,55,10,600,0,0,100,100,0,55,40,0,600,0,0,45,100,1,0,13.5,249
石头人→投石车,55,30,600,0,0,100,100,0,50,60,5,800,0,0,50,100,1,0,0,400
石头人→狼骑,55,30,600,0,0,100,100,0,35,60,20,800,0,0,65,100,1,0,19.5,163
石头人→龙,55,10,600,0,0,100,100,0,30,70,25,1000,0,0,70,100,1,0,63,-78
石头人→王,55,30,600,0,0,100,100,0,35,60,20,600,0,0,65,100,1,0,19.5,93
石头人→骷髅,55,30,600,0,0,100,100,0,50,40,5,150,0,0,50,100,1,0,5,45
