实际伤害价值=[（被攻击单位初始价值*（被攻击单位等级/3+1）*（伤害量*嘲讽加成+BUFF等效伤害量）-自身单位初始价值*（自身单位等级/3+1）*(反击量+BUFF等效伤害量）]/100,,,,,,,,,,,,,,,,,,,,
最终伤害=[（攻方攻击力+地形攻击加成+其他攻击加成）-（守方实际防御+地形防御加成+特殊防御加成+其他防御加成）]*攻方当前血量/最大血量,,,,,,,,,,,,,,,,,,计算结果每一步出现小数向下取整,,
王、战士、圣骑士占房子城堡嘲讽加成,,,,骷髅计算价格,,,王计算价格（可按实际价格）,,,,,,,,,,,,,
2,,,,150,,,600,,,,,,,,,,,,仅讨论攻击价值,
参数,攻击方,,,,,,,,,防守方,,,,,,,,,,攻击价值
,攻击力,防御力,价格,等级,地形,血量,总血量,buff等效伤害量,攻击伤害,攻击力,防御力,价格,等级,地形,血量,总血量,嘲讽加成,buff等效伤害量,反击伤害,
骷髅→战士,40,5,150,0,0,100,100,0,35,55,5,150,0,0,65,100,1,0,32.5,3.75
骷髅→幽灵,40,5,150,0,0,100,100,0,35,50,5,200,0,0,65,100,1,0,29.25,26.125
骷髅→人鱼,40,5,150,0,0,100,100,0,40,40,0,200,0,0,60,100,1,0,21,48.5
骷髅→弓箭手,40,5,150,0,0,100,100,0,35,45,5,250,0,0,65,100,1,0,0,87.5
骷髅→史莱姆,40,5,150,0,0,100,100,0,0,50,40,250,0,0,100,100,1,0,45,-67.5
骷髅→水元素,40,5,150,0,0,100,100,0,25,60,15,300,0,0,75,100,1,0,41.25,13.125
骷髅→黑法,40,5,150,0,0,100,100,0,40,50,0,300,0,0,60,100,1,0,27,79.5
骷髅→女巫,40,5,150,0,0,100,100,0,40,45,0,400,0,0,60,100,1,0,24,124
骷髅→圣骑,40,5,150,0,0,100,100,0,30,50,10,400,0,0,70,100,1,0,31.499999999999996,72.75000000000001
骷髅→精灵,40,5,150,0,0,100,100,0,20,55,20,500,0,0,80,100,1,0,40,40
骷髅→狂战士,40,5,150,0,0,100,100,0,20,70,20,500,0,0,80,100,1,0,65,2.5
骷髅→狼,40,5,150,0,0,100,100,0,20,75,20,600,0,0,80,100,1,0,56,36
骷髅→石头人,40,5,150,0,0,100,100,0,10,55,30,600,0,0,90,100,1,0,45,-7.5
骷髅→冰元素,40,5,150,0,0,100,100,0,30,55,10,600,0,0,70,100,1,0,35,127.5
骷髅→德鲁伊,40,5,150,0,0,100,100,0,40,40,0,600,0,0,60,100,1,0,21,208.5
骷髅→投石车,40,5,150,0,0,100,100,0,35,60,5,800,0,0,65,100,1,0,0,280
骷髅→狼骑,40,5,150,0,0,100,100,0,20,60,20,800,0,0,80,100,1,0,44,94
骷髅→龙,40,5,150,0,0,100,100,0,15,70,25,1000,0,0,85,100,1,0,82.875,25.6875
骷髅→王,40,5,150,0,0,100,100,0,20,60,20,600,0,0,80,100,1,0,44,54
骷髅→骷髅,40,5,150,0,0,100,100,0,35,40,5,150,0,0,65,100,1,0,22.75,18.375
