实际伤害价值=[（被攻击单位初始价值*（被攻击单位等级/3+1）*（伤害量*嘲讽加成+BUFF等效伤害量）-自身单位初始价值*（自身单位等级/3+1）*(反击量+BUFF等效伤害量）]/100,,,,,,,,,,,,,,,,,,,,
最终伤害=[（攻方攻击力+地形攻击加成+其他攻击加成）-（守方实际防御+地形防御加成+特殊防御加成+其他防御加成）]*攻方当前血量/最大血量,,,,,,,,,,,,,,,,,,计算结果每一步出现小数向下取整,,
王、战士、圣骑士占房子城堡嘲讽加成,,,,骷髅计算价格,,,王计算价格（可按实际价格）,,,,,,,,,,,,,
2,,,,150,,,600,,,,,,,,,,,,仅讨论攻击价值,
参数,攻击方,,,,,,,,,防守方,,,,,,,,,,攻击价值
近战情况,攻击力,防御力,价格,等级,地形,血量,总血量,buff等效伤害量,攻击伤害,攻击力,防御力,价格,等级,地形,血量,总血量,嘲讽加成,buff等效伤害量,反击伤害,
龙→战士,70,25,1000,0,0,100,100,0,97.5,55,5,150,0,0,2.5,100,1,0,0.75,138.75
龙→幽灵,70,25,1000,0,0,100,100,0,82.5,50,15,200,0,0,17.5,100,1,0,4.375,121.25
龙→人鱼,70,25,1000,0,0,100,100,0,105,40,0,200,0,0,-5,100,1,0,-0.75,217.5
龙→弓箭手,70,25,1000,0,0,100,100,0,97.5,45,5,250,0,0,2.5,100,1,0,0,243.75
龙→史莱姆,70,25,1000,0,0,100,100,0,120,50,-10,250,0,0,-20,100,1,0,-5,350
龙→水元素,70,25,1000,0,0,100,100,0,82.5,60,15,300,0,0,17.5,100,1,0,6.125,186.25
龙→黑法,70,25,1000,0,0,100,100,0,75,50,20,300,0,0,25,100,1,0,6.25,162.5
龙→女巫,70,25,1000,0,0,100,100,0,45,45,40,400,0,0,55,100,1,0,11,70
龙→圣骑,70,25,1000,0,0,100,100,0,90,50,10,400,0,0,10,100,1,0,2.5,335
龙→精灵,70,25,1000,0,0,100,100,0,60,55,30,500,0,0,40,100,1,0,12,180
龙→狂战士,70,25,1000,0,0,100,100,0,90,70,10,500,0,0,10,100,1,0,45,0
龙→狼,70,25,1000,0,0,100,100,0,90,75,10,600,0,0,10,100,1,0,5,490
龙→石头人,70,25,1000,0,0,100,100,0,90,55,10,600,0,0,10,100,1,0,3,510
龙→冰元素,70,25,1000,0,0,100,100,0,75,55,20,600,0,0,25,100,1,0,7.5,375
龙→德鲁伊,70,25,1000,0,0,100,100,0,60,40,30,600,0,0,40,100,1,0,6,300
龙→投石车,70,25,1000,0,0,100,100,0,97.5,60,5,800,0,0,2.5,100,1,0,0,780
龙→狼骑,70,25,1000,0,0,100,100,0,90,60,10,800,0,0,10,100,1,0,3.5,685
龙→龙,70,25,1000,0,0,100,100,0,67.5,70,25,1000,0,0,32.5,100,1,0,21.9375,455.625
龙→王,70,25,1000,0,0,100,100,0,75,60,20,600,0,0,25,100,1,0,8.75,362.5
龙→骷髅,70,25,1000,0,0,100,100,0,97.5,40,5,150,0,0,2.5,100,1,0,0.375,142.5
,,,,,,,,,,,,,,,,,,,,
参数,攻击方,,,,,,,,,防守方,,,,,,,,,,攻击价值
远程情况,攻击力,防御力,价格,等级,地形,血量,总血量,buff等效伤害量,攻击伤害,攻击力,防御力,价格,等级,地形,血量,总血量,嘲讽加成,buff等效伤害量,反击伤害,
龙→战士,70,25,1000,0,0,100,100,0,65,55,5,150,0,0,35,100,1,0,0,97.5
龙→幽灵,70,25,1000,0,0,100,100,0,55,50,15,200,0,0,45,100,1,0,0,110
龙→人鱼,70,25,1000,0,0,100,100,0,70,40,0,200,0,0,30,100,1,0,0,140
龙→弓箭手,70,25,1000,0,0,100,100,0,65,45,5,250,0,0,35,100,1,0,0,162.5
龙→史莱姆,70,25,1000,0,0,100,100,0,80,50,-10,250,0,0,20,100,1,0,0,200
龙→水元素,70,25,1000,0,0,100,100,0,55,60,15,300,0,0,45,100,1,0,0,165
龙→黑法,70,25,1000,0,0,100,100,0,50,50,20,300,0,0,50,100,1,0,0,150
龙→女巫,70,25,1000,0,0,100,100,0,30,45,40,400,0,0,70,100,1,0,0,120
龙→圣骑,70,25,1000,0,0,100,100,0,60,50,10,400,0,0,40,100,1,0,0,240
龙→精灵,70,25,1000,0,0,100,100,0,40,55,30,500,0,0,60,100,1,0,0,200
龙→狂战士,70,25,1000,0,0,100,100,0,60,70,10,500,0,0,40,100,1,0,45,-150
龙→狼,70,25,1000,0,0,100,100,0,60,75,10,600,0,0,40,100,1,0,0,360
龙→石头人,70,25,1000,0,0,100,100,0,30,55,10,600,0,0,70,100,1,0,0,180
龙→冰元素,70,25,1000,0,0,100,100,0,50,55,20,600,0,0,50,100,1,0,0,300
龙→德鲁伊,70,25,1000,0,0,100,100,0,40,40,30,600,0,0,60,100,1,0,0,240
龙→投石车,70,25,1000,0,0,100,100,0,65,60,5,800,0,0,35,100,1,0,0,520
龙→狼骑,70,25,1000,0,0,100,100,0,60,60,10,800,0,0,40,100,1,0,0,480
龙→龙,70,25,1000,0,0,100,100,0,22.5,70,25,1000,0,0,77.5,100,1,0,0,225
龙→王,70,25,1000,0,0,100,100,0,50,60,20,600,0,0,50,100,1,0,0,300
龙→骷髅,70,25,1000,0,0,100,100,0,65,40,5,150,0,0,35,100,1,0,0,97.5
